2024-11-25 20:00:26.844 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.844 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.844 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.846 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.846 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.846 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.866 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2024-11-25 20:00:26.866 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2024-11-25 20:00:26.866 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2024-11-25 20:00:26.906 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.906 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.906 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.906 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.906 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.907 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2024-11-25 20:00:26.907 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2024-11-25 20:00:26.907 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2024-11-25 20:00:26.907 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2024-11-25 20:00:26.907 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2024-11-25 20:00:26.909 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.909 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.909 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.909 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.909 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.909 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2024-11-25 20:00:26.909 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2024-11-25 20:00:26.909 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2024-11-25 20:00:26.909 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2024-11-25 20:00:26.909 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2024-11-25 20:00:26.914 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.914 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.914 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.914 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.914 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.914 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.915 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2024-11-25 20:00:26.915 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2024-11-25 20:00:26.915 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2024-11-25 20:00:26.915 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2024-11-25 20:00:26.915 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2024-11-25 20:00:26.915 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2024-11-25 20:00:26.920 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.920 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.920 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.920 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.920 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.920 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.920 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
